id,name,ingredient,image,type
426935,蔬菜卷,全麦面粉、鸡蛋、牛奶、板栗泥、青菜、金针菇、胡萝卜。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154206990286898610340734.jpg?x-oss-process=style/f320x240,new
426925,蔓越莓土豆玛芬,低粉、土豆、蔓越莓干、牛奶、鸡蛋、绵白糖、黄油、无铝泡打粉。,https://i8.meishichina.com/attachment/recipe/2018/11/13/201811131542062001339258404188.jpg?x-oss-process=style/f320x240,new
426923,豉油鸡,土鸡、生抽、老抽、料酒、糖、水。,https://i8.meishichina.com/attachment/recipe/2018/11/13/201811131542061361169266491.jpg?x-oss-process=style/f320x240,new
424249,番茄洋葱牛尾汤,牦牛尾、番茄、胡萝卜、洋葱、盐、胡椒粉。,https://i8.meishichina.com/attachment/recipe/2018/11/04/20181104154128798567949234360.jpg?x-oss-process=style/f320x240,new
426915,火龙果溶豆,火龙果泥、奶粉、玉米淀粉、蛋清、细砂糖。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420401484324769788818.jpg?x-oss-process=style/f320x240,new
426914,秋葵蒸蛋,鸡蛋、秋葵、开水、盐、麻油、生抽。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420387414824409788818.jpg?x-oss-process=style/f320x240,new
426912,蓝莓土豆泥,土豆、淡奶油、盐、蓝莓果酱。,https://i8.meishichina.com/attachment/recipe/2018/11/12/20181112154203703120340410525325.jpg?x-oss-process=style/f320x240,new
426911,快手黑椒牛排,牛排、黄油、黑胡椒酱、鸡蛋、彩椒、紫甘蓝、圣女果、洋葱。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420365150766309693501.jpeg?x-oss-process=style/f320x240,new
426907,潮汕牛肉火锅,牛肉、牛肉丸、牛杂、各种蔬菜、沙茶酱、盐、黑胡椒。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420355638925029693501.jpg?x-oss-process=style/f320x240,new
426908,缤纷韩式烤肉,肥牛卷、牛肉丸、鸡翅、奥尔良腌料、各种蔬菜、沙茶酱、洋葱、食用油。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420360224097899693501.jpg?x-oss-process=style/f320x240,new
426901,火腿西葫片,西葫芦、双汇火腿肠、盐、植物油。,https://i8.meishichina.com/attachment/recipe/2018/11/12/20181112154203088597410224823.jpg?x-oss-process=style/f320x240,new
426899,五彩缤纷土豆泥,土豆、胡萝卜、黄瓜、玉米粒、青椒、豌豆粒、花生油、淡奶油、黑胡椒粉、盐、味精。,https://i8.meishichina.com/attachment/recipe/2018/11/12/20181112154202917780535410525325.jpg?x-oss-process=style/f320x240,new
426891,豆沙烧饼,中筋面粉、豆沙、酱油、芝麻。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420273982727071275.jpg?x-oss-process=style/f320x240,new
426892,火腿肠芝士薄底披萨,秋葵、高筋面粉、火腿肠、鸡蛋、胡萝卜、豌豆、盐、酵母、白糖、番茄酱、芝士、葵花籽油、温水。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420274437421607773477.jpg?x-oss-process=style/f320x240,new
426890, 滋补火锅,桂圆干、干百合、红枣、浓汤宝、葱、香菇、姜。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420279508956100832.jpg?x-oss-process=style/f320x240,new
426862,东坡肘子,猪肘、冰糖、盐、葱、姜、黄酒、花椒。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420191464395886968441.jpg?x-oss-process=style/f320x240,new
426873,白菜炒豆腐,北豆腐、大白菜、盐、蚝油、味极鲜酱油、大葱、姜、蒜、红辣椒。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420208896316241101.jpg?x-oss-process=style/f320x240,new
426821,渐变色裱花蛋糕,戚风蛋糕、淡奶油、色素、水果。,https://i8.meishichina.com/attachment/recipe/2018/11/12/20181112154200422286710269391.jpg?x-oss-process=style/f320x240,new
426719,芝麻酱拌豆角,长豆角、芝麻酱、大蒜、香醋、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/11/2018111115419347582287345450.jpg?x-oss-process=style/f320x240,new
426861,全蛋海绵芝麻蛋糕,带壳鸡蛋、金龙鱼低筋小麦粉、细砂糖、玉米油、清水、白芝麻。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420190128906187513584.jpg?x-oss-process=style/f320x240,new
426856,荠菜肉饺,荠菜、肉馅儿、姜末、花椒粉、盐、老抽、玉米油、蚝油、生抽、香油、葱末。,https://i8.meishichina.com/attachment/recipe/2018/11/12/20181112154201817720810449735.jpg?x-oss-process=style/f320x240,new
426790,焯拌荠菜,荠菜、小米椒、蒜末、盐、陈醋、生抽、香油。,https://i8.meishichina.com/attachment/recipe/2018/11/12/20181112154199693377410449735.jpg?x-oss-process=style/f320x240,new
426853,肉末青菜粥,大米、小白菜芯、猪肉馅、盐、白胡椒粉、凉水。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420171481608467513584.jpg?x-oss-process=style/f320x240,new
