id,name,ingredient,image,main
425875,油茶麻花,油茶、面粉、鸡蛋、糖、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/06/201811061541467196411436968441.jpg?x-oss-process=style/f320x240,main
425873,玫瑰腐乳咸煎饼,面粉、泡打粉、酵母、盐、红腐乳汁、水、油酥、糖。,https://i8.meishichina.com/attachment/recipe/2018/11/06/20181106154146557232806968441.jpg?x-oss-process=style/f320x240,main
425868,番茄牛肉麦满分,高筋粉、全麦粉、水、蛋液、奶粉、黄油、糖、盐、酵母粉、牛肉、番茄汁、生抽、干淀粉。,https://i8.meishichina.com/attachment/recipe/2018/11/06/201811061541463925959105272949.jpg?x-oss-process=style/f320x240,main
425846,瘦肉时蔬面片,面粉、温水、番茄、土豆、瘦肉、木耳、黄花、粉丝、包菜、香菇、胡萝卜、葱、蒜、油、盐、五香粉、生抽、醋。,https://i8.meishichina.com/attachment/recipe/2018/11/05/20181105154142922563610667631.jpg?x-oss-process=style/f320x240,main
425841,黑麦粉鸡蛋饼,黑麦粉、白面粉、亚麻籽粉、鸡蛋、香油、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/05/201811051541427199448324666.jpg?x-oss-process=style/f320x240,main
425823,小白菜番茄挂面汤,鸡蛋、挂面、番茄、小白菜、油、盐、味精。,https://i8.meishichina.com/attachment/recipe/2018/11/05/201811051541418789131896100832.jpg?x-oss-process=style/f320x240,main
425807,松茸蛋炒饭,米饭、松茸炒蛋、小米椒、盐、生抽。,https://i8.meishichina.com/attachment/recipe/2018/11/05/20181105154141223795110449735.jpg?x-oss-process=style/f320x240,main
425801,发面玉米面饼,玉米面粉、面粉、鸡蛋、油、小苏打、白糖、酸奶。,https://i8.meishichina.com/attachment/recipe/2018/11/05/2018110515414096811703321499680.jpg?x-oss-process=style/f320x240,main
425602,冰花水煎包,面粉、猪肉、生粉、大葱、芹菜、鸡蛋。,https://i8.meishichina.com/attachment/recipe/2018/11/04/2018110415413097759017071275.jpg?x-oss-process=style/f320x240,main
425771,小米面发面饼,小米面、面粉、鸡蛋、酵母、白糖、清水。,https://i8.meishichina.com/attachment/recipe/2018/11/05/2018110515413992356048008357090.jpg?x-oss-process=style/f320x240,main
425714,南瓜松饼,南瓜泥、鸡蛋、牛奶、低筋面粉、糖、柠檬汁。,https://i8.meishichina.com/attachment/recipe/2018/11/05/2018110515413790363318880613.jpg?x-oss-process=style/f320x240,main
425750,西兰花鱼糕煮米粉,米粉、西兰花、鱼糕、味极鲜、蚝油、胡椒粉、盐、鸡精。,https://i8.meishichina.com/attachment/recipe/2018/11/05/20181105154139454356010878013.jpg?x-oss-process=style/f320x240,main
425733,芝士红薯饼,红薯、面粉、奶酪。,https://i8.meishichina.com/attachment/recipe/2018/11/05/201811051541389164623563830.jpg?x-oss-process=style/f320x240,main
